,train_volatility,test_volatility
BTC,"['low', 'low', 'low', 'low', 'normal']","['low', 'normal', 'normal', 'normal', 'normal']"
ETH,"['normal', 'low', 'low', 'low', 'normal']","['low', 'normal', 'normal', 'normal', 'high']"
BNB,"['low', 'low', 'low', 'low', 'low']","['low', 'low', 'normal', 'low', 'normal']"
XRP,"['normal', 'normal', 'normal', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'high']"
ADA,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'high', 'high', 'high']"
DOGE,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'high']"
MATIC,"['normal', 'low', 'low', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'high']"
LINK,"['normal', 'normal', 'normal', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'high']"
ETC,"['normal', 'normal', 'low', 'normal', 'high']","['low', 'normal', 'high', 'high', 'high']"
XLM,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'normal']"
LTC,"['normal', 'low', 'normal', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'high']"
TRX,"['low', 'low', 'low', 'normal', 'normal']","['low', 'low', 'high', 'normal', 'normal']"
ATOM,"['normal', 'normal', 'normal', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'high']"
XMR,"['normal', 'low', 'normal', 'normal', 'normal']","['low', 'normal', 'normal', 'normal', 'normal']"
VET,"['high', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'high']"
ALGO,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'high']"
EOS,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'high', 'high']"
CHZ,"['high', 'high', 'high', 'high', 'normal']","['high', 'normal', 'high', 'normal', 'high']"
IOTA,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'high']"
NEO,"['high', 'high', 'normal', 'normal', 'normal']","['normal', 'normal', 'high', 'normal', 'high']"
XTZ,"['normal', 'normal', 'normal', 'normal', 'normal']","['normal', 'normal', 'normal', 'normal', 'high']"
